status,name,solver,nvar,time,memory,num_iter,neval_obj,init_eval_obj_time,init_eval_obj_mem,init_eval_obj_alloc,neval_grad,init_eval_grad_time,init_eval_grad_mem,init_eval_grad_alloc,is_init_run
first_order,kirby2,LBFGSSolver,5,1.246039737,0.130816,19,23,1.9197e-5,0.000592,3,21,2.4427e-5,0.000688,5,false
first_order,lanczos1,LBFGSSolver,6,0.808233931,28.795928,57,171,0.054165951,6.078592,120550,55,0.224989612,16.922176,338434,true
first_order,lanczos1,LBFGSSolver,6,0.34192154799999996,0.870656,57,171,4.057e-6,0.000592,3,55,1.9547e-5,0.000704,5,false
first_order,lanczos2,LBFGSSolver,6,0.690970251,28.80288,57,171,0.042015556,6.078592,120550,55,0.213313306,16.914808,338436,true
first_order,lanczos2,LBFGSSolver,6,0.31257402,0.870656,57,171,8.787e-6,0.000592,3,55,1.2544e-5,0.000704,5,false
first_order,lanczos3,LBFGSSolver,6,0.6848816959999999,28.897864,60,175,0.035701931,6.0868,120571,58,0.228601842,16.910288,338451,true
first_order,lanczos3,LBFGSSolver,6,0.308707723,0.96824,60,175,7.224e-6,0.000592,3,58,1.0811e-5,0.000704,5,false
first_order,liarwhd,LBFGSSolver,100,0.647811996,27.962,10,12,0.03828016,4.512416,88880,12,0.220721828,13.687392,270250,true
first_order,liarwhd,LBFGSSolver,100,0.295214887,0.304624,10,12,2.535e-6,0.000592,3,12,2.6401e-5,0.00152,5,false
first_order,mgh17,LBFGSSolver,5,0.746997667,26.412808,9,32,0.053129916,5.988216,117980,9,0.217388933,16.57868,331771,true
first_order,mgh17,LBFGSSolver,5,0.39456138599999996,0.066832,9,32,3.357e-6,0.000592,3,9,3.4276e-5,0.000688,5,false
first_order,morebv,LBFGSSolver,100,2.706055852,150.325744,63,65,0.078529663,7.20628,142399,65,0.268485975,16.11144,323693,true
first_order,morebv,LBFGSSolver,100,2.154769062,115.389888,63,65,9.298e-6,0.000592,3,65,0.000124489,0.00152,5,false
first_order,nazareth,LBFGSSolver,100,1.035496018,31.471528,11,13,0.029665588,0.940096,18342,13,0.229159281,12.798696,256108,true
first_order,nazareth,LBFGSSolver,100,0.615185997,0.932,11,13,1.2524e-5,0.000592,3,13,0.000217777,0.00152,5,false
first_order,ncb20,LBFGSSolver,100,1.388070555,64.62984,42,185,0.202949372,34.447168,673948,42,0.460350283,37.75552,752891,true
first_order,ncb20,LBFGSSolver,100,0.637105858,4.594224,42,185,1.554e-5,0.000592,3,42,0.00026084,0.00152,5,false
first_order,ncb20b,LBFGSSolver,100,1.631584576,63.19836,18,42,0.164711122,29.95392,585696,18,0.390594167,33.308616,662813,true
first_order,ncb20b,LBFGSSolver,100,0.937040227,7.794576,18,42,6.983e-6,0.000592,3,18,0.000302609,0.00152,5,false
first_order,noncvxu2,LBFGSSolver,100,0.8120467680000001,32.783632,36,137,0.056507567,6.462104,127518,36,0.231223334,14.319304,282365,true
first_order,noncvxu2,LBFGSSolver,100,0.42204167000000004,4.687024,36,137,5.149e-6,0.000592,3,36,5.9203e-5,0.00152,5,false
first_order,noncvxun,LBFGSSolver,100,0.7424837719999999,31.561728,40,170,0.056283949,6.508016,127521,40,0.247187936,14.309104,282363,true
first_order,noncvxun,LBFGSSolver,100,0.351628875,3.43536,40,170,1.1672e-5,0.000592,3,40,6.2439e-5,0.00152,5,false
first_order,nondia,LBFGSSolver,100,0.629980961,27.5122,6,11,0.052173203,8.854032,171784,8,0.235107997,13.44608,266435,true
first_order,nondia,LBFGSSolver,100,0.27352081100000003,0.149408,6,11,6.944e-6,0.000592,3,8,2.8244e-5,0.00152,5,false
first_order,nondquar,LBFGSSolver,100,0.860140688,55.682256,36,97,0.050605631,4.822464,94470,38,0.222991104,14.93596,295691,true
first_order,nondquar,LBFGSSolver,100,0.506044777,21.49192,36,97,8.275e-6,0.000592,3,38,3.3814e-5,0.00152,5,false
first_order,osborne1,LBFGSSolver,5,0.6998692790000001,27.609136,59,172,0.039158242,5.564904,110664,58,0.201741669,16.62868,333929,true
first_order,osborne1,LBFGSSolver,5,0.353615271,0.65608,59,172,4.489e-6,0.000592,3,58,4.338e-6,0.000688,5,false
first_order,osborne2,LBFGSSolver,11,0.909429045,44.523616,19,28,0.072126035,7.009184,138461,21,0.248064606,16.876296,337942,true
first_order,osborne2,LBFGSSolver,11,0.42711931599999997,1.510016,19,28,9.098e-6,0.000592,3,21,1.8405e-5,0.000736,5,false
first_order,palmer1c,LBFGSSolver,8,0.710265946,46.352768,4,6,0.103740677,17.543888,345692,6,0.346549676,26.499008,525372,true
first_order,palmer1c,LBFGSSolver,8,0.300946187,0.105648,4,6,4.248e-6,0.000592,3,6,1.0461e-5,0.00072,5,false
first_order,palmer1d,LBFGSSolver,7,0.711624789,44.819992,5,7,0.09944047,17.526264,345690,7,0.276051649,28.703168,571954,true
first_order,palmer1d,LBFGSSolver,7,0.299917427,0.095392,5,7,6.442e-6,0.000592,3,7,1.4207e-5,0.000704,5,false
first_order,palmer2c,LBFGSSolver,8,0.739595891,46.28908,4,6,0.091002285,17.528312,345691,6,0.270506626,25.170296,498444,true
first_order,palmer2c,LBFGSSolver,8,0.331863953,0.105648,4,6,5.931e-6,0.000592,3,6,1.3526e-5,0.00072,5,false
first_order,palmer3c,LBFGSSolver,8,0.8520931629999999,46.341016,4,6,0.102812159,17.552992,345692,6,0.24028829,25.140528,498439,true
first_order,palmer3c,LBFGSSolver,8,0.435292042,0.105648,4,6,4.188e-6,0.000592,3,6,8.086e-6,0.00072,5,false
first_order,palmer4c,LBFGSSolver,8,0.7174586350000001,46.33492,4,6,0.091584491,17.544808,345695,6,0.270882286,25.137688,498440,true
first_order,palmer4c,LBFGSSolver,8,0.308145489,0.105648,4,6,5.02e-6,0.000592,3,6,8.877e-6,0.00072,5,false
first_order,palmer5c,LBFGSSolver,6,0.920186213,39.415792,6,8,0.121392371,26.522336,535284,8,0.267899092,25.493944,511673,true
first_order,palmer5c,LBFGSSolver,6,0.3565536,0.07776,6,8,2.725e-6,0.000592,3,8,6.913e-6,0.000704,5,false
first_order,palmer6c,LBFGSSolver,8,0.725067942,46.298624,4,6,0.097160432,17.532,345692,6,0.249620297,25.156504,498444,true
first_order,palmer6c,LBFGSSolver,8,0.313978172,0.135888,4,6,5.06e-6,0.000592,3,6,6.122e-6,0.00072,5,false
first_order,palmer7c,LBFGSSolver,8,0.735219789,46.219824,3,5,0.103415624,17.526264,345690,5,0.240873491,25.18952,498438,true
first_order,palmer7c,LBFGSSolver,8,0.31885039499999995,0.080192,3,5,7.254e-6,0.000592,3,5,6.833e-6,0.00072,5,false
first_order,palmer8c,LBFGSSolver,8,0.7342681870000001,46.310728,5,7,0.081111759,17.522128,345689,7,1.1292292,25.131912,498442,true
first_order,palmer8c,LBFGSSolver,8,0.309107652,0.156304,5,7,3.367e-6,0.000592,3,7,7.915e-6,0.00072,5,false
first_order,penalty1,LBFGSSolver,100,0.719257721,33.92904,16,18,0.079762284,15.070712,290875,18,0.279136638,17.786504,352506,true
first_order,penalty1,LBFGSSolver,100,0.28536796400000003,0.325456,16,18,6.192e-6,0.000592,3,18,4.0157e-5,0.00152,5,false
first_order,penalty2,LBFGSSolver,100,0.856016429,80.715264,15,17,0.162233077,18.369512,360052,17,0.372750196,26.193576,517324,true
