status,name,solver,mem,nvar,time(ns),memory(MB),nvmops,neval_obj,neval_grad
first_order,arglinc,LBFGSSolver,26,100,222294.0,108064.0,2,809676,115668
first_order,arglinc,LBFGSSolver,27,100,222555.0,111568.0,2,809676,115668
first_order,arglinc,LBFGSSolver,28,100,222846.0,115088.0,2,804244,114892
first_order,arglinc,LBFGSSolver,29,100,223057.0,118544.0,2,804244,114892
first_order,arglinc,LBFGSSolver,30,100,223257.0,122112.0,2,804244,114892
first_order,arglinc,LBFGSSolver,31,100,223628.0,125568.0,2,804244,114892
first_order,arglinc,LBFGSSolver,32,100,224339.0,129088.0,2,798840,114120
first_order,arglinc,LBFGSSolver,33,100,224870.0,132576.0,2,798840,114120
first_order,arglinc,LBFGSSolver,34,100,225171.0,136096.0,2,798840,114120
first_order,arglinc,LBFGSSolver,35,100,225000.0,139600.0,2,798840,114120
first_order,arglinc,LBFGSSolver,36,100,225151.0,143184.0,2,793464,113352
first_order,arglinc,LBFGSSolver,37,100,226163.0,146640.0,2,793464,113352
first_order,arglinc,LBFGSSolver,38,100,226503.0,150144.0,2,793464,113352
first_order,arglinc,LBFGSSolver,39,100,226613.0,153600.0,2,793464,113352
first_order,arglinc,LBFGSSolver,40,100,227144.0,157184.0,2,793464,113352
